Time	[IRS1]	[IRS1a]	[pIRS1]	[PI3K]	[pPI3K]	[PIP2]	[PIP3]	[PDK1]	[PDK1_PIP3]	[Akt]	[Akt_PIP3]	[pAkt]	[Akti]	[TSC2]	[pTSC2]	[RhebGDP]	[RhebGTP]	[ppPras40]	[mTORC1cyt]	[mTORC1_Pras40cyt]	[mTORC1lys]	[RAG_GDP]	[RAG_GTP]	[mTORC1i]	[mTORC1ii]	[mTORC1iii]	[mTORC1iv]	[FourEBP1]	[pFourEBP1]	[S6K]	[pS6K]	[AMPK]	[pAMPKi]	[pAMPK]	[CaMKK2a]	[CaMKK2]	[LKB1a]	[LKB1]	[RTK]	[pRTK]	[Sos]	[pRTKa]	[Raf]	[pRaf]	[Mek]	[pMek]	[Erk]	[pErk]	[Meki]	[PLCeps]	[pPLCeps]	[IP3]	[DAG]	[IpR]	[IpRa]	[Ca2]	[Rapamycin]	[MK2206]	[RasGDP]	[RasGTP]	[pmTORC1]	[pSos]	Values[Insulin]	Values[AA]	Values[AZD]	Values[EGF]	Values[kIRS1In]	Values[kIRS1Out]	Values[kIRS1Act]	Values[kIRS1Inact]	Values[kIRS1Phos]	Values[kIRS1Dephos]	Values[kPI3KPhos]	Values[kPI3KDephos]	Values[kPIPPhos]	Values[kPIPDephos]	Values[kPDK1BindPIP3]	Values[kPDK1UnbindPIP3]	Values[kAktBindPIP3]	Values[kAktUnbindPIP3]	Values[kAktPhos]	Values[kAktDephos]	Values[kAktBindMK]	Values[kTSC2Phos]	Values[kTSC2Dephos]	Values[kRhebPhos]	Values[kRhebDephos]	Values[kmTORC1BindPras40]	Values[kmTORC1UnbindPras40]	Values[kmTORC1CytToLys]	Values[kmTORC1LysToCyt]	Values[kRAGPhos]	Values[kRAGDephos]	Values[kmTORC1Phos]	Values[kmTORC1Dephos]	Values[kmTORC1BindRapa]	Values[kmTORC1UnbindRapa]	Values[k4EBP1Phos]	Values[k4EBP1Dephos]	Values[kS6KPhos]	Values[kS6KDehos]	Values[kAMPKInhibPhosByAkt]	Values[kAMPKInhibPhosByS6K]	Values[kAMPKDephos]	Values[kAMPKActPhos]	Values[kAMPKActDephos]	Values[kCaMKK2Act]	Values[kCaMKK2Inact]	Values[kLKB1Act]	Values[kLKB1Inact]	Values[kTKRBindEGF]	Values[kTKRUnbindEGF]	Values[kTKRBindSOS]	Values[kTKRUnbindSOS]	Values[kSOSPhos]	Values[kSOSDephos]	Values[kRasLoad]	Values[kRasUnload]	Values[kRafPhos]	Values[kRafDephos]	Values[kMekPhos]	Values[kMekDephos]	Values[kErkPhos]	Values[kErkDephos]	Values[kMekBindAzd]	Values[kMekUnbindAzd]	Values[kPLCPhos]	Values[kPLCDephos]	Values[kPIP2Break]	Values[kPIP2form]	Values[kIP3BindIpR]	Values[kIP3UnbindIpR]	Values[kCa2In]	Values[kCa2Out]
0	10.001	0.001	0.001	10.001	0.001	10.001	0.001	10.001	0.001	10.001	0.001	0.001	0	10.001	0.001	10.002	0	0	0.002	10.001	0.001	10.001	0.001	0	0	0	0	10.001	0.001	10.001	0.001	10.001	0	0.001	0	10.001	0.001	10.001	10.001	0	10.001	0	10.001	0.001	10.001	0.001	10.001	0.001	0	10.001	0.001	0.001	0.001	10.001	0.0009	0.0009	0	0	10.002	0	0.001	0.001	0	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
1	10.001	0.000904719	0.000904956	10.0002	0.00180967	10.001	0.000233116	10.0006	0.00136149	10.0006	0.00145183	0.000904992	0	10.0002	0.0018098	10.002	0	0.000951615	0.00308205	10	0.00150168	10.0011	0.000904607	0	0	0	0	10.0005	0.00150149	10.0005	0.00150149	9.99852	0.00215218	0.00132885	0.000867713	10.0001	0.000904837	10.0011	10.001	0	10.0001	0	10.0011	0.000904837	10	0.00195152	10.001	0.0010468	0	10.0011	0.000904837	0.000454102	0.00100945	10.0004	0.00145535	0.000931532	0	0	10.002	0	0.000367885	0.00187199	0	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
2	10.001	0.000818496	0.000818965	9.99954	0.00245601	10.001	0.000150804	10.0006	0.00140019	10.0006	0.00156362	0.000819071	0	9.99954	0.00245653	10.002	0	0.00181239	0.00409849	9.99919	0.00157852	10.0012	0.000818228	0	0	0	0	10.0004	0.00157813	10.0004	0.00157813	9.99532	0.00425025	0.00243207	0.00169991	9.9993	0.000818731	10.0012	10.001	0	9.99925	0	10.0012	0.000818731	9.99919	0.00281229	10.0008	0.00117524	0	10.0012	0.000818731	0.000272422	0.00101803	10.0003	0.0016456	0.000992141	0	0	10.002	0	0.000135379	0.0027463	0	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
3	10.001	0.000740491	0.000741145	9.99904	0.00296278	10.0011	0.000144321	10.0006	0.00140582	10.0006	0.00162761	0.000741339	0	9.99904	0.00296393	10.002	0	0.00259084	0.00503162	9.99841	0.00150938	10.0013	0.000740025	0	0	0	0	10.0005	0.00150874	10.0005	0.00150874	9.99173	0.0060599	0.00421205	0.0025141	9.99849	0.000740818	10.0013	10.001	0	9.99831	0	10.0013	0.000740818	9.99841	0.00359092	10.0006	0.00136933	0	10.0013	0.000740818	0.000211954	0.00102579	10.0002	0.00171384	0.00105815	0	0	10.002	0	4.98351e-05	0.00369246	0	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
4	10.0009	0.000669927	0.000670713	9.99865	0.00335073	10.0011	0.000145957	10.0006	0.00141003	10.0007	0.00167759	0.000671013	0	9.99865	0.0033527	10.002	0	0.00329467	0.00588049	9.99771	0.00139583	10.0013	0.000669237	0	0	0	0	10.0006	0.00139491	10.0006	0.00139491	9.98788	0.00753427	0.00658849	0.00331281	9.99769	0.00067032	10.0013	10.001	0	9.99724	0	10.0013	0.00067032	9.9977	0.00429517	10.0004	0.00161539	0	10.0013	0.00067032	0.000191827	0.00103282	10.0002	0.001741	0.00112204	0	0	10.002	0	1.8352e-05	0.00475925	0	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
5	10.0009	0.000606094	0.000606967	9.99836	0.00363791	10.0011	0.000148205	10.0006	0.00141585	10.0007	0.00171844	0.000607386	0	9.99836	0.00364083	10.002	0	0.0039309	0.00664983	9.99707	0.00127432	10.0014	0.000605171	0	0	0	0	10.0007	0.00127312	10.0007	0.00127312	9.98382	0.00869036	0.00948852	0.00409422	9.99691	0.000606531	10.0014	10.001	0	9.99602	0	10.0014	0.000606531	9.99707	0.00493209	10.0001	0.00190173	0	10.0014	0.000606531	0.000185127	0.00103918	10.0001	0.00175406	0.00118163	0	0	10.002	0	6.76089e-06	0.00597877	0	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
6	10.0009	0.00054835	0.000549273	9.99816	0.00384001	10.0011	0.000150259	10.0006	0.00142317	10.0007	0.0017517	0.00054982	0	9.99816	0.00384396	10.002	0	0.00450588	0.00734592	9.99649	0.00115746	10.0015	0.000547198	0	0	0	0	10.0008	0.00115601	10.0008	0.00115601	9.97959	0.00956424	0.0128439	0.0048556	9.99614	0.000548812	10.0015	10.001	0	9.99463	0	10.0015	0.000548812	9.99649	0.00550802	9.99978	0.00221843	0	10.0015	0.000548812	0.000182896	0.00104494	10.0001	0.00176204	0.00123652	0	0	10.002	0	2.49174e-06	0.00736978	0	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
7	10.0008	0.000496113	0.000497058	9.99803	0.00397063	10.0011	0.000152055	10.0006	0.00143162	10.0007	0.00177842	0.000497738	0	9.99802	0.00397568	10.002	0	0.00502537	0.00797527	9.99597	0.00104918	10.0015	0.000494745	0	0	0	0	10.001	0.00104749	10.001	0.00104749	9.97521	0.0101951	0.0165903	0.0055944	9.99541	0.000496585	10.0015	10.001	0	9.99306	0	10.0015	0.000496585	9.99597	0.0060287	9.99944	0.00255706	0	10.0015	0.000496585	0.000182153	0.00105014	10.0001	0.00176799	0.00128682	0	0	10.002	0	9.18731e-07	0.00894053	0	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
8	10.0008	0.000448857	0.000449801	9.99796	0.00404156	10.0011	0.000153607	10.0006	0.00144086	10.0007	0.00179946	0.000450616	0	9.99795	0.00404774	10.002	0	0.0054946	0.008544	9.99551	0.000950253	10.0016	0.000447294	0	0	0	0	10.0011	0.000948354	10.0011	0.000948354	9.97071	0.0106197	0.0206675	0.00630858	9.99469	0.000449329	10.0016	10.001	0	9.99131	0	10.0016	0.000449329	9.9955	0.00649935	9.99909	0.00291053	0	10.0016	0.000449329	0.000181904	0.00105485	10.0001	0.00177294	0.00133286	0	0	10.002	0	3.38897e-07	0.0106911	0	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
9	10.0008	0.000406106	0.000407034	9.99794	0.00406299	10.0011	0.000154938	10.0005	0.00145059	10.0008	0.00181561	0.000407983	0	9.99793	0.00407032	10.002	0	0.00591831	0.0090578	9.99508	0.000860383	10.0016	0.000404373	0	0	0	0	10.0011	0.000858309	10.0011	0.000858309	9.96611	0.0108712	0.025019	0.00699655	9.994	0.00040657	10.0016	10.001	0	9.98938	0	10.0016	0.00040657	9.99508	0.00692466	9.99873	0.00327289	0	10.0016	0.00040657	0.00018182	0.00105911	10.0001	0.00177729	0.00137495	0	0	10.002	0	1.25067e-07	0.0126154	0	0	0	0	1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.01	0.1	0.1	0.1	0.1	0.1	0.001	0.1	0.1	0.1	0.1	0.1
